N_bkg	E_bkg	N_signal	E_signal	Data_Obs
2493.75	169.972	18.2059	4.26684	2276
1889.59	206.564	15.6823	3.96009	1845
1621.97	96.6953	19.266	4.3893	1498
1351.64	147.282	18.3572	4.28453	1267
1189.82	132.277	18.7207	4.32674	1175
1168.19	110.703	21.8105	4.67018	983
1008.97	127.471	21.0835	4.59168	1001
937.745	215.456	22.3558	4.72819	812
730.315	91.5413	23.4463	4.84214	724
529.802	55.2453	21.6288	4.65068	533
777.747	63.4287	43.4394	6.59086	789
1333.19	117.128	26.455	5.14344	1221
891.031	72.0753	26.8069	5.17754	826
980.714	429.64	40.2626	6.34528	769
629.812	48.0134	44.6773	6.68411	609
511.804	65.0864	40.6158	6.37305	420
358.248	53.4481	44.8539	6.69731	304
629.693	460.039	28.49	5.3376	551
370.883	514	32.819	5.72879	357
296.238	77.4153	32.1161	5.6671	292
254.53	75.2	29.896	5.46773	221
177.296	428.451	32.1161	5.6671	167
82.4844	17.6545	27.528	5.24672	92
101.705	25.5126	27.01	5.19711	125
53.0088	11.4399	19.388	4.40318	62
76.5196	31.7371	46.9159	6.84952	79
12.5497	9.00759	12.876	3.58831	12
